slug,classification,kind,dokploy_id,domain_ids,container_names,volume_names,bind_paths,watchdog_tokens,endpoint_expectation,notes
zenod-jorditest-od45rm,test,compose,ciBRPRrxi65xgi9mc3zal,Ebx081yskFW7ECZayOcLm,zenod-jorditest-od45rm,compose-navigate-neural-bus-xiqw66_zenod-standalone-data,,,unrouted,Explicit test slug; live inventory 2026-07-10
zenod-jorditestzenod0000-4ptjqj,test,compose,YdOtLxxT1MVk0SYrVE7qO,6muhdmLkliTuddBDMcYep,zenod-jorditestzenod0000-4ptjqj,compose-synthesize-optical-panel-rpo4zh_zenod-standalone-data,,,unrouted,Explicit test slug; live inventory 2026-07-10
zenod-jordizenodtest-ccnzay,test,compose,3nUSkSxl-6eWBCosCN5RD,ulUI4cEx9BGVc5guUJIQf,zenod-jordizenodtest-ccnzay,compose-parse-online-array-y5wp4v_zenod-standalone-data,,,unrouted,Explicit test slug; live inventory 2026-07-10
zenod-jordizenodtest33-gmcxem,test,compose,NDFqSn6r-YraEGSQ_KcJJ,a3PTNGKXfhyG3ULEifJOd,zenod-jordizenodtest33-gmcxem,compose-program-cross-platform-monitor-g4f7e8_zenod-standalone-data,,,unrouted,Active test row; two failed duplicates follow
callisthenes-callisthenestest-vn6wnb,test,compose,87fpHWO3Qvf9xXrR-04Nn,RZcXJM1IPTY6Jpnv58Nn9,callisthenes-callisthenestest-vn6wnb,compose-synthesize-1080p-system-v1v7gx_callisthenes-data,,callisthenes-callisthenestest-vn6wnb;https://c-callisthenestest-vn6wnb.zenod.dev/connect,unrouted,Explicit test slug; watched row
callisthenes-jorditest2-qmapvn,test,compose,e-YFn3suCCKIol9w3akW7,ceaLPVJEOux2kiDIcgWjj,callisthenes-jorditest2-qmapvn,compose-bypass-back-end-protocol-9guvht_callisthenes-data,,,unrouted,Explicit test slug; live inventory 2026-07-10
callisthenes-jordikalitest-godu15,test,compose,mifThmov_r3lO6GYr3gi2,TinsKIFQ7DbWRYDUYklp2,callisthenes-jordikalitest-godu15,compose-synthesize-primary-panel-9xgjg8_callisthenes-data,,,unrouted,Explicit test slug; live inventory 2026-07-10
ring-jorditestring-0ce4bp,test,compose,1xcTXFoe8xVjsih1LC5c9,iL4uOLHsTa_2Prvryh5LZ,compose-navigate-multi-byte-panel-t2b3ik-zenod-console-1;compose-navigate-multi-byte-panel-t2b3ik-zenod-archus-1;compose-navigate-multi-byte-panel-t2b3ik-zenod-phylax-1;compose-navigate-multi-byte-panel-t2b3ik-zenod-zenod-1;compose-navigate-multi-byte-panel-t2b3ik-zenod-epaminon-1;compose-navigate-multi-byte-panel-t2b3ik-zenod-outbound-1,compose-navigate-multi-byte-panel-t2b3ik_archus-data;compose-navigate-multi-byte-panel-t2b3ik_console-data;compose-navigate-multi-byte-panel-t2b3ik_epaminon-data;compose-navigate-multi-byte-panel-t2b3ik_outbound-data;compose-navigate-multi-byte-panel-t2b3ik_phylax-data;compose-navigate-multi-byte-panel-t2b3ik_zenod-data,,,unrouted,Explicit test slug; active row
ring-ringcloudtest2026070-yfnwxy,test,compose,gl-REbqCb5mIzVM7D_4DI,kdW3-b3FYGc53o-DExGsu,compose-back-up-bluetooth-bandwidth-xht4be-zenod-phylax-1;compose-back-up-bluetooth-bandwidth-xht4be-zenod-archus-1;compose-back-up-bluetooth-bandwidth-xht4be-zenod-zenod-1;compose-back-up-bluetooth-bandwidth-xht4be-zenod-epaminon-1;compose-back-up-bluetooth-bandwidth-xht4be-zenod-outbound-1;compose-back-up-bluetooth-bandwidth-xht4be-zenod-console-1,compose-back-up-bluetooth-bandwidth-xht4be_archus-data;compose-back-up-bluetooth-bandwidth-xht4be_console-data;compose-back-up-bluetooth-bandwidth-xht4be_epaminon-data;compose-back-up-bluetooth-bandwidth-xht4be_outbound-data;compose-back-up-bluetooth-bandwidth-xht4be_phylax-data;compose-back-up-bluetooth-bandwidth-xht4be_zenod-data,,,unrouted,Cloud test slug; active row
ring-ringe2emain202607092-lw5wat,test,compose,epsGDOO6tkTQ6i9B_HnRt,bVaV_OHFnR_IHBd-xwEMe,compose-compress-cross-platform-circuit-ewdmj5-zenod-epaminon-1;compose-compress-cross-platform-circuit-ewdmj5-zenod-outbound-1;compose-compress-cross-platform-circuit-ewdmj5-zenod-phylax-1;compose-compress-cross-platform-circuit-ewdmj5-zenod-console-1;compose-compress-cross-platform-circuit-ewdmj5-zenod-archus-1;compose-compress-cross-platform-circuit-ewdmj5-zenod-zenod-1,compose-compress-cross-platform-circuit-ewdmj5_archus-data;compose-compress-cross-platform-circuit-ewdmj5_console-data;compose-compress-cross-platform-circuit-ewdmj5_epaminon-data;compose-compress-cross-platform-circuit-ewdmj5_outbound-data;compose-compress-cross-platform-circuit-ewdmj5_phylax-data;compose-compress-cross-platform-circuit-ewdmj5_zenod-data,,,unrouted,E2E test slug; active row
ring-ringnotouch20260709-wl3hhm,test,compose,HL8JfN2zVmkuM5mhaCBQS,PNRwwdCAoEBz6631Ya_37,compose-quantify-redundant-protocol-15cwae-zenod-zenod-1;compose-quantify-redundant-protocol-15cwae-zenod-outbound-1;compose-quantify-redundant-protocol-15cwae-zenod-archus-1;compose-quantify-redundant-protocol-15cwae-zenod-console-1;compose-quantify-redundant-protocol-15cwae-zenod-epaminon-1;compose-quantify-redundant-protocol-15cwae-zenod-phylax-1,compose-quantify-redundant-protocol-15cwae_archus-data;compose-quantify-redundant-protocol-15cwae_console-data;compose-quantify-redundant-protocol-15cwae_epaminon-data;compose-quantify-redundant-protocol-15cwae_outbound-data;compose-quantify-redundant-protocol-15cwae_phylax-data;compose-quantify-redundant-protocol-15cwae_zenod-data,,,unrouted,No-touch test slug; active row
ring-ringtest20260709-8uiw3s,test,compose,qvxRcJxBvWqYp-AYPLS3t,kb9ltFH2ItJOJUrcaLbob,compose-parse-mobile-port-nz5tru-zenod-outbound-1;compose-parse-mobile-port-nz5tru-zenod-phylax-1;compose-parse-mobile-port-nz5tru-zenod-console-1;compose-parse-mobile-port-nz5tru-zenod-zenod-1;compose-parse-mobile-port-nz5tru-zenod-archus-1;compose-parse-mobile-port-nz5tru-zenod-epaminon-1,compose-parse-mobile-port-nz5tru_archus-data;compose-parse-mobile-port-nz5tru_console-data;compose-parse-mobile-port-nz5tru_epaminon-data;compose-parse-mobile-port-nz5tru_outbound-data;compose-parse-mobile-port-nz5tru_phylax-data;compose-parse-mobile-port-nz5tru_zenod-data,,ring-ringtest20260709-8uiw3s;https://r-ringtest20260709-8uiw3s.zenod.dev/api/health,unrouted,Explicit test slug; watched row
tenant-testco,test,compose,u8EwwHmyykYv1qbv2sPmP,y5dnpWWlQtXalQAppRIqL,compose-override-auxiliary-hard-drive-bavq21-zenod-outbound-1;compose-override-auxiliary-hard-drive-bavq21-zenod-zenod-1;compose-override-auxiliary-hard-drive-bavq21-zenod-epaminon-1;compose-override-auxiliary-hard-drive-bavq21-zenod-archus-1;compose-override-auxiliary-hard-drive-bavq21-zenod-phylax-1;compose-override-auxiliary-hard-drive-bavq21-zenod-console-1,compose-override-auxiliary-hard-drive-bavq21_archus-data;compose-override-auxiliary-hard-drive-bavq21_console-data;compose-override-auxiliary-hard-drive-bavq21_epaminon-data;compose-override-auxiliary-hard-drive-bavq21_outbound-data;compose-override-auxiliary-hard-drive-bavq21_phylax-data;compose-override-auxiliary-hard-drive-bavq21_zenod-data,,,unrouted,Explicit test tenant; suite-shaped row
zenod-jordizenodtest33-gmcxem,duplicate,record-only,bfQI30e1AobdUhmoV5ETo,95jXnw-MIXLWayXw5ZGCw,,compose-program-primary-hard-drive-p3psql_zenod-standalone-data,,,unrouted,Failed duplicate; domain overlaps approved active test row; orphan volume must snapshot
zenod-jordizenodtest33-gmcxem,duplicate,record-only,af7VR4e4H-4HdfDS1xnG8,ytvuXh5MdnGfLO6ThvcJy,,compose-parse-neural-panel-zdjqpz_zenod-standalone-data,,,unrouted,Failed duplicate; domain overlaps approved active test row; orphan volume must snapshot
ring-jorditestring-0ce4bp,duplicate,record-only,SFLkR6HA_TZUXP9qEv4r6,SqbW7HsDkqSOZ5raL38Fr,,,,,unrouted,Failed duplicate; domain overlaps approved active test row; no container or volume joined
ring-jordiring-fkegkz,duplicate,record-only,ksmrenJOsbUyHuS45tIcK,s2car3CbIkHwOTHeU37HS,,,,,still-routed,Failed duplicate only; domain overlaps UNKNOWN active row and requires explicit line-item approval
